miRNA_Name,id
MIMAT0000100,291
MIMAT0000681,292
MIMAT0004673,293
MIMAT0004903,294
MIMAT0000688,295
MIMAT0004958,296
MIMAT0000684,297
MIMAT0000715,298
MIMAT0000714,299
MIMAT0000717,300
MIMAT0000718,301
MIMAT0005932,302
MIMAT0019864,303
MIMAT0015378,304
MIMAT0015066,305
MIMAT0015027,306
MIMAT0000088,307
MIMAT0000087,308
MIMAT0004589,309
MIMAT0000420,310
MIMAT0004674,311
MIMAT0004550,312
MIMAT0000244,313
MIMAT0000245,314
MIMAT0000693,315
MIMAT0000692,316
MIMAT0000089,317
MIMAT0014979,318
MIMAT0014989,319
MIMAT0014990,320
MIMAT0014995,321
MIMAT0014996,322
MIMAT0014998,323
MIMAT0015000,324
MIMAT0015007,325
MIMAT0015010,326
MIMAT0015014,327
MIMAT0015018,328
MIMAT0015019,329
MIMAT0015022,330
MIMAT0018194,331
MIMAT0015024,332
MIMAT0015025,333
MIMAT0015026,334
MIMAT0015028,335
MIMAT0015035,336
MIMAT0015036,337
MIMAT0015037,338
MIMAT0015038,339
MIMAT0015042,340
MIMAT0015043,341
MIMAT0015048,342
MIMAT0015051,343
MIMAT0015054,344
MIMAT0015055,345
MIMAT0018178,346
MIMAT0015063,347
MIMAT0015064,348
MIMAT0015065,349
MIMAT0015068,350
MIMAT0015069,351
MIMAT0015070,352
MIMAT0015076,353
MIMAT0015077,354
MIMAT0015078,355
MIMAT0015079,356
MIMAT0015080,357
MIMAT0015083,358
MIMAT0004505,359
MIMAT0000090,360
MIMAT0015085,361
MIMAT0000510,362
MIMAT0005793,363
MIMAT0006764,364
MIMAT0000755,365
MIMAT0004696,366
MIMAT0001630,367
MIMAT0000762,368
MIMAT0000761,369
MIMAT0000756,370
MIMAT0000752,371
MIMAT0001629,372
MIMAT0000751,373
MIMAT0000760,374
MIMAT0004700,375
MIMAT0004703,376
MIMAT0000765,377
MIMAT0000754,378
MIMAT0004695,379
MIMAT0000763,380
MIMAT0004702,381
MIMAT0000764,382
MIMAT0000091,383
MIMAT0003301,384
MIMAT0004692,385
MIMAT0000753,386
MIMAT0000772,387
MIMAT0000773,388
MIMAT0004557,389
MIMAT0000255,390
MIMAT0004676,391
MIMAT0000685,392
MIMAT0004677,393
MIMAT0000686,394
MIMAT0017983,395
MIMAT0004682,396
MIMAT0000703,397
MIMAT0017988,398
MIMAT0017993,399
MIMAT0017999,400
MIMAT0000705,401
MIMAT0018001,402
MIMAT0018002,403
MIMAT0000707,404
MIMAT0003385,405
MIMAT0018071,406
MIMAT0018074,407
MIMAT0018078,408
MIMAT0018080,409
MIMAT0000710,410
MIMAT0022834,411
MIMAT0018081,412
